,USTB3M,USTB6M,USTB1Y,USTB3Y,USTB5Y,USTB10Y
1986M03,7.01,7.1,7.22,7.51,7.66,8.01
1986M04,6.5,6.59,6.67,7.03,7.22,7.39
1986M05,6.29,6.43,6.56,7.07,7.21,7.44
1986M06,6.62,6.79,7,7.74,8.02,8.23
1986M07,6.14,6.2,6.36,6.99,7.21,7.35
1986M08,6,6.11,6.27,6.89,7.1,7.41
1986M09,5.35,5.48,5.66,6.35,6.63,7.18
1986M10,5.33,5.57,5.79,6.65,6.93,7.43
1986M11,5.41,5.58,5.76,6.48,6.76,7.31
1986M12,5.57,5.67,5.78,6.37,6.61,7.09
1987M01,5.8,5.89,5.97,6.54,6.79,7.2
1987M02,5.78,5.85,5.92,6.53,6.74,7.22
1987M03,5.71,5.8,5.94,6.52,6.71,7.18
1987M04,5.74,6.02,6.18,6.86,7.09,7.56
1987M05,5.87,6.35,6.76,7.71,7.92,8.32
1987M06,5.89,6.4,6.91,8,8.19,8.58
1987M07,5.86,6.16,6.71,7.72,7.96,8.35
1987M08,6.06,6.4,6.96,8.02,8.3,8.75
1987M09,6.41,6.68,7.41,8.41,8.69,9.18
1987M10,6.86,7.23,7.88,8.89,9.17,9.61
1987M11,5.81,6.39,6.87,7.96,8.32,8.84
1987M12,5.59,6.46,7.02,8.04,8.4,8.98
1988M01,5.93,6.58,7.15,8.08,8.38,8.85
1988M02,5.86,6.35,6.65,7.42,7.73,8.2
1988M03,5.8,6.14,6.63,7.33,7.63,8.17
1988M04,5.91,6.32,6.78,7.66,8.03,8.57
1988M05,6.35,6.74,7.23,8.06,8.39,8.93
1988M06,6.66,7.13,7.59,8.34,8.61,9.07
1988M07,6.78,7.09,7.52,8.21,8.46,8.86
1988M08,7.12,7.5,7.89,8.52,8.67,9.04
1988M09,7.52,7.87,8.24,8.79,8.92,9.21
1988M10,7.5,7.88,8.13,8.48,8.57,8.83
1988M11,7.63,7.92,8.1,8.38,8.44,8.72
1988M12,8.22,8.55,8.75,8.98,9,9.11
1989M01,8.53,8.9,9.17,9.3,9.28,9.24
1989M02,8.68,8.91,9.05,9.14,9.07,9
1989M03,8.98,9.2,9.4,9.43,9.42,9.33
1989M04,9.15,9.31,9.47,9.47,9.36,9.2
1989M05,8.85,9.02,9.16,9.18,9.09,9.07
1989M06,8.84,8.82,8.8,8.71,8.6,8.57
1989M07,8.07,7.99,7.97,7.94,7.93,8.08
1989M08,7.97,7.84,7.73,7.66,7.64,7.82
1989M09,8.17,8.26,8.32,8.37,8.26,8.25
1989M10,8.03,8.26,8.35,8.32,8.21,8.18
1989M11,8.04,7.99,7.89,7.92,7.86,7.92
1989M12,7.88,7.83,7.73,7.76,7.77,7.85
1990M01,7.84,7.9,7.82,7.93,7.91,7.98
1990M02,8.02,8.13,8.09,8.38,8.39,8.47
1990M03,8.02,8.14,8.14,8.44,8.44,8.5
1990M04,8.04,8.2,8.29,8.62,8.59,8.59
1990M05,8.12,8.42,8.56,9.01,9.01,9.02
1990M06,8,8.1,8.18,8.5,8.52,8.58
1990M07,7.97,8.02,8.06,8.33,8.36,8.44
1990M08,7.67,7.67,7.67,8.01,8.12,8.37
1990M09,7.63,7.73,7.74,8.24,8.48,8.85
1990M10,7.36,7.51,7.58,8.07,8.33,8.69
1990M11,7.34,7.45,7.41,7.95,8.22,8.64
1990M12,7.21,7.22,7.24,7.57,7.8,8.16
1991M01,6.67,6.75,6.78,7.34,7.62,8
1991M02,6.36,6.47,6.51,7.29,7.6,8.02
1991M03,6.22,6.31,6.4,7.27,7.65,8
1991M04,5.93,6.04,6.26,7.25,7.69,8.03
1991M05,5.69,5.86,6.11,7.16,7.64,8.02
1991M06,5.75,5.99,6.3,7.29,7.86,8.2
